team1,team2,score1,score2,date
Alcorn,Washington St.,67,85,2021-11-09
Manhattanville,Manhattan,42,99,2021-11-09
Mount St. Marys,Villanova,51,91,2021-11-09
Bethune-Cookman,South Fla.,54,75,2021-11-09
UC San Diego,California,80,67,2021-11-09
Bob Jones,Wofford,79,117,2021-11-09
Akron,Ohio St.,66,67,2021-11-09
Mary Baldwin,Winthrop,78,110,2021-11-09
Saint Peters,VCU,54,57,2021-11-09
Southern Ill.,Little Rock,66,69,2021-11-09
St. Marys (MD),Morgan St.,55,118,2021-11-09
Eastern Mich.,Indiana,62,68,2021-11-09
Brescia,Middle Tenn.,59,98,2021-11-09
Central Conn. St.,UConn,48,99,2021-11-09
Emory & Henry,Radford,72,84,2021-11-09
IUPUI,Butler,47,56,2021-11-09
Siena,St. Bonaventure,47,75,2021-11-09
Oakland,West Virginia,53,60,2021-11-09
Regis (MA),Holy Cross,51,98,2021-11-09
Rutgers-Camden,Princeton,28,94,2021-11-09
Fairfield,Providence,73,80,2021-11-09
Rivier,UMass Lowell,55,91,2021-11-09
N.C. Central,Richmond,60,70,2021-11-09
N.C. A&T,UNC Greensboro,53,57,2021-11-09
Lake Erie,Wright St.,53,86,2021-11-09
South Carolina St.,East Carolina,62,70,2021-11-09
Salve Regina,Brown,59,89,2021-11-09
UIC,Dayton,54,64,2021-11-09
Vassar,Yale,42,88,2021-11-09
Hartford,Wagner,59,77,2021-11-09
Georgetown (KY),Eastern Ky.,63,93,2021-11-09
Cairn,Delaware St.,41,80,2021-11-09
Presbyterian,Clemson,53,64,2021-11-09
Mid-Atlantic Christ.,Hampton,51,101,2021-11-09
SUNY New Paltz,Army West Point,52,83,2021-11-09
North Greenville,Furman,66,118,2021-11-09
App State,Iona,53,65,2021-11-09
Monmouth,Charlotte,66,68,2021-11-09
The Citadel,Pittsburgh,78,63,2021-11-09
Bellarmine,Purdue,67,96,2021-11-09
St. Josephs (ME),New Hampshire,53,98,2021-11-09
Evansville,Cincinnati,43,65,2021-11-09
Trinity Baptist,Jacksonville,43,79,2021-11-09
Emerson,Merrimack,48,77,2021-11-09
Loyola Maryland,North Carolina,67,83,2021-11-09
Ball St.,Ga. Southern,71,82,2021-11-09
Towson,Albany (NY),77,56,2021-11-09
Boston U.,Rhode Island,62,71,2021-11-09
Lafayette,Syracuse,63,97,2021-11-09
Northeastern,Colgate,58,65,2021-11-09
FIU,Georgia,51,58,2021-11-09
Belmont,Ohio,80,92,2021-11-09
Delaware,Davidson,71,93,2021-11-09
USC Upstate,South Carolina,60,78,2021-11-09
Wheeling,Northern Ky.,54,82,2021-11-09
Kansas,Michigan St.,87,74,2021-11-09
Brewton-Parker,Georgia St.,37,97,2021-11-09
Rider,Duquesne,61,73,2021-11-09
Quinnipiac,Maryland,69,83,2021-11-09
Texas Southern,Oregon,66,83,2021-11-09
Carlow,VMI,55,111,2021-11-09
Morehouse,Harvard,70,86,2021-11-09
JWU (Charlotte),Charleston So.,71,118,2021-11-09
UT Martin,Tennessee,62,90,2021-11-09
Toledo,Valparaiso,69,61,2021-11-09
Dist. Columbia,Howard,59,87,2021-11-09
Portland,Arizona St.,60,76,2021-11-09
Stony Brook,George Mason,52,74,2021-11-09
Fla. Memorial,Stetson,67,74,2021-11-09
Bowling Green,Western Caro.,71,79,2021-11-09
Canisius,Miami (FL),67,77,2021-11-09
Miami (OH),Georgia Tech,72,69,2021-11-09
New Orleans,Ole Miss,61,82,2021-11-09
William Peace,Campbell,50,85,2021-11-09
Earlham,Purdue Fort Wayne,54,103,2021-11-09
Niagara,Xavier,60,63,2021-11-09
Fla. National,FGCU,57,94,2021-11-09
Cornell,Binghamton,76,69,2021-11-09
Texas St.,UIW,75,57,2021-11-09
UNC Asheville,UAB,77,102,2021-11-09
Fisher,Bryant,54,122,2021-11-09
LSU-Alexandria,SFA,73,82,2021-11-09
UMBC,Massachusetts,60,77,2021-11-09
Ferrum,Coastal Carolina,73,101,2021-11-09
Mississippi Val.,St. Johns (NY),61,119,2021-11-09
Bucknell,NC State,70,88,2021-11-09
Sacred Heart,La Salle,86,81,2021-11-09
Marist,American,73,77,2021-11-09
Neumann,Drexel,74,103,2021-11-09
Indiana St.,Green Bay,81,77,2021-11-09
Birmingham-So.,Lipscomb,98,105,2021-11-09
Milwaukee,North Dakota,75,60,2021-11-09
Southeastern La.,Tulane,67,70,2021-11-09
ULM,LSU,39,101,2021-11-09
Bridgewater (VA),Norfolk St.,56,79,2021-11-09
McNeese,SMU,62,86,2021-11-09
Shenandoah,High Point,59,108,2021-11-09
Mercer,Arkansas,61,74,2021-11-09
Coe,Drake,61,87,2021-11-09
Maryville (TN),Samford,78,99,2021-11-09
Maryville (TN),Samford,78,99,2021-11-09
St. Francis Brooklyn,Wisconsin,58,81,2021-11-09
Dartmouth,Boston College,57,73,2021-11-09
Pepperdine,Rice,63,82,2021-11-09
Coppin St.,Loyola Chicago,45,103,2021-11-09
Saint Francis (PA),George Washington,72,75,2021-11-09
Central Mich.,Missouri,68,78,2021-11-09
Elon,Florida,61,74,2021-11-09
Maine,Virginia Tech,47,82,2021-11-09
William Carey,Southern Miss.,67,81,2021-11-09
Hofstra,Houston,75,83,2021-11-09
Ark.-Pine Bluff,Creighton,77,90,2021-11-09
Jackson St.,Illinois,47,71,2021-11-09
Cumberland (TN),Murray St.,77,109,2021-11-09
UT Arlington,Oklahoma St.,45,88,2021-11-09
Concordia-Mhead,North Dakota St.,44,88,2021-11-09
Alabama St.,Western Ky.,74,79,2021-11-09
Abilene Christian,Utah,56,70,2021-11-09
Jacksonville St.,Wichita St.,57,60,2021-11-09
UNCW,Illinois St.,63,68,2021-11-09
Central Ark.,Saint Louis,61,96,2021-11-09
Columbia,Fordham,67,77,2021-11-09
North Florida,Texas Tech,74,89,2021-11-09
Western Ill.,Nebraska,75,74,2021-11-09
Eastern Ill.,Northwestern,56,80,2021-11-09
Tennessee Tech,Memphis,65,89,2021-11-09
Wiley,Lamar University,50,67,2021-11-09
Kansas City,Minnesota,56,71,2021-11-09
UMES,Saint Josephs,67,69,2021-11-09
Tennessee St.,Alabama A&M,73,82,2021-11-09
Nicholls,UNI,62,58,2021-11-09
Spring Hill,South Alabama,41,102,2021-11-09
Hastings,Omaha,57,67,2021-11-09
Tenn. Southern,Austin Peay,79,86,2021-11-09
Southeast Mo. St.,Missouri St.,99,94,2021-11-09
St. Thomas (MN),Chicago St.,72,77,2021-11-09
Tex. A&M Intl,UTRGV,59,74,2021-11-09
Kennesaw St.,Iowa St.,73,84,2021-11-09
Morehead St.,Auburn,54,77,2021-11-09
Texas Lutheran,A&M-Corpus Christi,64,102,2021-11-09
Northwestern St.,Oklahoma,59,77,2021-11-09
West Florida,Louisiana,47,81,2021-11-09
Harding,Arkansas St.,55,81,2021-11-09
Carver,Troy,42,104,2021-11-09
SIUE,Marquette,77,88,2021-11-09
Trinity (TX),UTSA,66,97,2021-11-09
Okla. Christian,North Texas,53,84,2021-11-09
Southern U.,Louisville,60,72,2021-11-09
Dixie St.,Gonzaga,63,97,2021-11-09
Bethesda (CA),Southern Utah,74,116,2021-11-09
Western Colo.,Weber St.,60,100,2021-11-09
Eastern Ore.,Idaho St.,61,82,2021-11-09
UC Irvine,New Mexico St.,51,62,2021-11-09
Regis (CO),Denver,65,68,2021-11-09
Houston Baptist,Texas,48,92,2021-11-09
Grambling,Grand Canyon,53,74,2021-11-09
Cal St. Fullerton,Santa Clara,77,84,2021-11-09
Utah Valley,Boise St.,56,76,2021-11-09
Louisiana Tech,Alabama,64,93,2021-11-09
Western N.M.,UTEP,57,85,2021-11-09
Navy,Virginia,66,58,2021-11-09
CSUN,Southern California,49,89,2021-11-09
Bradley,South Dakota St.,65,81,2021-11-09
Dickinson St.,Montana,27,74,2021-11-09
Oral Roberts,Colorado St.,80,109,2021-11-09
Kentucky,Duke,71,79,2021-11-09
UC Davis,Utah St.,72,69,2021-11-09
Westcliff,Cal Poly,53,86,2021-11-09
UC Riverside,San Diego St.,53,66,2021-11-09
Montana St.,Colorado,90,94,2021-11-09
Longwood,Iowa,73,106,2021-11-09
San Fran. St.,California Baptist,65,87,2021-11-09
Cleveland St.,BYU,59,69,2021-11-09
Prairie View,Saint Marys (CA),68,87,2021-11-09
Fresno Pacific,Fresno St.,54,74,2021-11-09
Tarleton St.,Stanford,50,62,2021-11-09
Chattanooga,LMU (CA),75,64,2021-11-09
William Jessup,Sacramento St.,59,89,2021-11-09
NIU,Washington,71,64,2021-11-09
Eastern Wash.,Nevada,76,91,2021-11-09
La Verne,San Diego,38,103,2021-11-09
LIU,San Francisco,64,98,2021-11-09
Portland St.,Oregon St.,64,73,2021-11-09
Northern Ariz.,Arizona,52,81,2021-11-09
CSU Bakersfield,UCLA,58,95,2021-11-09
Regent,Howard,54,118,2021-11-10
Buffalo,Michigan,76,88,2021-11-10
Lehigh,Rutgers,70,73,2021-11-10
Hope,Western Mich.,58,76,2021-11-10
Robert Morris,UCF,59,69,2021-11-10
William & Mary,Wake Forest,59,77,2021-11-10
UMES,Temple,49,72,2021-11-10
Va. Wesleyan,Old Dominion,60,80,2021-11-10
Carlow,James Madison,40,135,2021-11-10
Fairleigh Dickinson,Seton Hall,49,93,2021-11-10
LeTourneau,Sam Houston,54,97,2021-11-10
Florida A&M,Kansas St.,57,67,2021-11-10
Northwestern St.,Tulsa,75,82,2021-11-10
North Ala.,Mississippi St.,49,75,2021-11-10
Harris-Stowe,Saint Louis,54,127,2021-11-10
North Florida,Texas A&M,46,64,2021-11-10
Alabama St.,Vanderbilt,72,91,2021-11-10
Youngstown St.,Penn St.,59,75,2021-11-10
Penn,Florida St.,70,105,2021-11-10
Fla. Atlantic,New Mexico,92,99,2021-11-10
Long Beach St.,Idaho,95,89,2021-11-10
Coppin St.,DePaul,72,97,2021-11-10
Detroit Mercy,Wyoming,47,85,2021-11-10
Northern Colo.,Pacific,67,65,2021-11-10
Gardner-Webb,UNLV,58,64,2021-11-10
Alcorn,Seattle U,66,69,2021-11-10
San Fran. St.,UC Santa Barbara,65,119,2021-11-10
Hawaii Hilo,Hawaii,67,97,2021-11-11
Air Force,South Dakota,53,59,2021-11-11
Vermont,UNI,71,57,2021-11-11
Penn St-Gr Allegheny,Morgan St.,71,126,2021-11-11
George Washington,Maryland,64,71,2021-11-11
Sacred Heart,Providence,64,92,2021-11-11
Brevard,UNC Asheville,44,101,2021-11-11
Regent,Liberty,24,85,2021-11-11
South Carolina St.,Col. of Charleston,74,106,2021-11-11
Penn St-Wilkes Barre,Norfolk St.,55,111,2021-11-11
Washington Col.,Mount St. Marys,62,117,2021-11-11
Merrimack,NJIT,61,54,2021-11-11
IUPUI,Evansville,40,60,2021-11-11
Mary Hardin-Baylor,SFA,63,76,2021-11-11
Ohio Valley,Eastern Ky.,74,103,2021-11-11
Spring Hill,Samford,69,86,2021-11-11
McNeese,TCU,61,77,2021-11-11
UC Riverside,Arizona St.,66,65,2021-11-11
Kennesaw St.,Creighton,44,51,2021-11-11
Pacific,Hawaii Hilo,85,74,2021-11-11
Cal St. Fullerton,San Jose St.,76,78,2021-11-11
Prairie View,San Francisco,76,92,2021-11-11
Northern Ariz.,Washington,62,73,2021-11-11
Willamette,Portland,78,122,2021-11-11
Northern Colo.,Hawaii,81,78,2021-11-12
Morris,The Citadel,67,108,2021-11-12
Northeastern,Georgia St.,64,83,2021-11-12
Hartford,Campbell,67,68,2021-11-12
South Carolina St.,Loyola Maryland,65,75,2021-11-12
Western New Eng.,Quinnipiac,52,103,2021-11-12
Gordon,Boston U.,61,85,2021-11-12
Eastern Wash.,UC Davis,76,84,2021-11-12
North Dakota St.,Cal Poly,60,57,2021-11-12
Me.-Farmington,Maine,52,71,2021-11-12
Illinois St.,Eastern Mich.,98,103,2021-11-12
Bryant,Rhode Island,64,83,2021-11-12
San Diego,Nevada,75,68,2021-11-12
Utah St.,Richmond,85,74,2021-11-12
Western Mich.,Michigan St.,46,90,2021-11-12
Western Ky.,Minnesota,69,73,2021-11-12
ETSU,App State,67,69,2021-11-12
Central Ark.,Butler,53,85,2021-11-12
Kent St.,Xavier,59,73,2021-11-12
NIU,Indiana,49,85,2021-11-12
VMI,Presbyterian,72,73,2021-11-12
UNC Greensboro,Northern Ky.,70,69,2021-11-12
Wright St.,Marshall,88,96,2021-11-12
Trinity (FL),FIU,48,111,2021-11-12
Ohio Wesleyan,Bowling Green,60,101,2021-11-12
Culver-Stockton,Western Ill.,69,91,2021-11-12
Niagara,Ohio St.,74,84,2021-11-12
Army West Point,Duke,56,82,2021-11-12
Radford,Virginia,52,73,2021-11-12
Furman,Louisville,80,72,2021-11-12
USC Upstate,Charlotte,64,76,2021-11-12
Bethune-Cookman,Middle Tenn.,51,71,2021-11-12
Penn,George Mason,66,87,2021-11-12
Charleston So.,Ole Miss,68,93,2021-11-12
Fordham,Manhattan,60,66,2021-11-12
Virginia-Lynchburg,Longwood,46,80,2021-11-12
Wofford,Clemson,68,76,2021-11-12
Salisbury,Delaware St.,91,78,2021-11-12
Randolph,Elon,62,107,2021-11-12
American,William & Mary,74,62,2021-11-12
Canisius,East Carolina,71,83,2021-11-12
Coppin St.,Rider,69,81,2021-11-12
Guilford,UNCW,68,77,2021-11-12
Holy Cross,Boston College,55,85,2021-11-12
Marist,Columbia,82,67,2021-11-12
Robert Morris,Kentucky,60,100,2021-11-12
Morehead St.,UAB,71,85,2021-11-12
Western Caro.,Wake Forest,75,87,2021-11-12
Jackson St.,Louisiana Tech,68,70,2021-11-12
Lipscomb,Col. of Charleston,77,86,2021-11-12
Stetson,Georgia Tech,52,77,2021-11-12
Champion Chris.,Little Rock,51,115,2021-11-12
Cornell,Lafayette,90,85,2021-11-12
Grambling,Texas Tech,62,88,2021-11-12
UTSA,Oklahoma,44,96,2021-11-12
High Point,Northwestern,60,95,2021-11-12
Eastern Ill.,Saint Louis,44,86,2021-11-12
South Dakota St.,Alabama,88,104,2021-11-12
ULM,Auburn,65,93,2021-11-12
Rice,Houston,46,79,2021-11-12
Louisiana,Southern Miss.,66,45,2021-11-12
Abilene Christian,Texas A&M,80,81,2021-11-12
Green Bay,Wisconsin,34,72,2021-11-12
Oakland,Oklahoma St.,56,55,2021-11-12
Massachusetts,Yale,71,91,2021-11-12
Austin Peay,Southern Ill.,55,73,2021-11-12
Carver,Nicholls,52,120,2021-11-12
Southeastern Bapt.,Southeastern La.,58,128,2021-11-12
Tarleton St.,Kansas,62,88,2021-11-12
Southwestern Christ.,Oral Roberts,50,121,2021-11-12
Oregon St.,Iowa St.,50,60,2021-11-12
SIUE,Chicago St.,56,67,2021-11-12
Kansas City,Iowa,57,89,2021-11-12
Antelope Valley,Utah Valley,48,82,2021-11-12
Ottawa (AZ),Denver,72,71,2021-11-12
Texas St.,LSU,59,84,2021-11-12
Indiana St.,Purdue,67,92,2021-11-12
Pittsburgh,West Virginia,59,74,2021-11-12
Sam Houston,Nebraska,65,74,2021-11-12
UIW,Baylor,60,87,2021-11-12
Virginia Tech,Navy,77,57,2021-11-12
New Hampshire,Marquette,70,75,2021-11-12
George Fox,Idaho,85,95,2021-11-12
North Florida,Grand Canyon,51,65,2021-11-12
Southern Utah,Dixie St.,76,83,2021-11-12
UTRGV,Arizona,50,104,2021-11-12
Brown,North Carolina,87,94,2021-11-12
Arkansas St.,Illinois,53,92,2021-11-12
San Diego St.,BYU,60,66,2021-11-12
Princeton,South Carolina,66,62,2021-11-12
Texas Southern,Saint Marys (CA),58,67,2021-11-12
Idaho St.,Pepperdine,60,65,2021-11-12
Seattle U,Washington St.,61,79,2021-11-12
LIU,Fresno St.,60,84,2021-11-12
Ark.-Pine Bluff,Colorado St.,71,91,2021-11-12
Evergreen St.,Portland St.,44,100,2021-11-12
SMU,Oregon,63,86,2021-11-12
Stanford,Santa Clara,72,88,2021-11-12
Villanova,UCLA,77,86,2021-11-12
CSUN,Notre Dame,52,68,2021-11-13
Coppin St.,UConn,54,89,2021-11-13
Omaha,Ball St.,69,73,2021-11-13
Ga. Southern,South Fla.,53,41,2021-11-13
Southern U.,Tulane,73,70,2021-11-13
UCF,Miami (FL),95,89,2021-11-13
Mount St. Marys,Saint Josephs,60,80,2021-11-13
Carver,Nicholls,44,101,2021-11-13
UIC,Valparaiso,74,70,2021-11-13
Air Force,Tulsa,59,58,2021-11-13
Harvard,Iona,87,90,2021-11-13
St. Thomas (MN),St. Francis Brooklyn,91,73,2021-11-13
Dartmouth,Georgetown,69,60,2021-11-13
Colgate,NC State,74,77,2021-11-13
N.C. A&T,Jacksonville,54,63,2021-11-13
Lamar University,Miami (OH),75,104,2021-11-13
Vermont,Maryland,57,68,2021-11-13
FGCU,Loyola Chicago,77,89,2021-11-13
Merrimack,Rutgers,35,48,2021-11-13
Mercer,Winthrop,85,88,2021-11-13
Hartford,Army West Point,79,86,2021-11-13
Gardner-Webb,Arkansas,69,86,2021-11-13
Miami-Hamilton,UT Martin,66,94,2021-11-13
Howard,Bradley,76,64,2021-11-13
Saint Peters,St. Johns (NY),70,91,2021-11-13
Bryn Athyn,UMES,42,91,2021-11-13
Albany (NY),La Salle,64,67,2021-11-13
Norfolk St.,Tennessee St.,66,59,2021-11-13
Old Dominion,James Madison,53,58,2021-11-13
Warner,Fla. Atlantic,56,78,2021-11-13
Spring Hill,New Orleans,41,79,2021-11-13
South Alabama,Wichita St.,58,64,2021-11-13
Evansville,Belmont,43,81,2021-11-13
Alabama A&M,Jacksonville St.,47,70,2021-11-13
Loyola Maryland,Col. of Charleston,72,79,2021-11-13
North Ala.,Virgin Islands,99,47,2021-11-13
Central Mich.,DePaul,66,99,2021-11-13
UMass Lowell,Dayton,59,58,2021-11-13
New Mexico,Colorado,76,87,2021-11-13
Youngstown St.,Southeast Mo. St.,97,79,2021-11-13
Hawaii Hilo,Northern Colo.,87,79,2021-11-13
Ohio,Cleveland St.,67,56,2021-11-13
Delaware,Siena,83,63,2021-11-13
Hofstra,Duquesne,73,63,2021-11-13
Detroit Mercy,Toledo,73,81,2021-11-13
Eastern Ky.,Milwaukee,77,71,2021-11-13
NJIT,Lehigh,73,56,2021-11-13
Wagner,VCU,58,44,2021-11-13
Southern California,Temple,76,71,2021-11-13
N.C. Central,Memphis,51,90,2021-11-13
Monmouth,Towson,79,71,2021-11-13
Point Park,Akron,46,102,2021-11-13
Arizona Christian,LMU (CA),67,74,2021-11-13
Montana,Mississippi St.,49,86,2021-11-13
Georgia,Cincinnati,68,73,2021-11-13
Regent,Hampton,56,70,2021-11-13
South Carolina St.,Lipscomb,81,93,2021-11-13
Mary Hardin-Baylor,UT Arlington,75,104,2021-11-13
Campbell,Duke,56,67,2021-11-13
Barclay,Houston Baptist,44,122,2021-11-13
Bellarmine,Murray St.,59,78,2021-11-13
Troy,Butler,59,70,2021-11-13
Alabama St.,Missouri St.,60,78,2021-11-13
Alcorn,Portland,58,62,2021-11-13
Prairie View,Michigan,49,77,2021-11-13
California,UNLV,52,55,2021-11-13
Davidson,San Francisco,60,65,2021-11-13
Champion Chris.,Northwestern St.,62,91,2021-11-13
Boise St.,UC Irvine,50,58,2021-11-13
UTEP,New Mexico St.,71,77,2021-11-13
Sacramento St.,Utah,56,89,2021-11-13
George Washington,UC San Diego,55,75,2021-11-13
Mississippi Val.,California Baptist,66,95,2021-11-13
Texas,Gonzaga,74,86,2021-11-13
LIFE Pacific,CSU Bakersfield,60,85,2021-11-13
Pacific,Hawaii,61,73,2021-11-14
Loyola Maryland,Lipscomb,65,70,2021-11-14
ETSU,Tennessee,62,94,2021-11-14
Yale,Seton Hall,44,80,2021-11-14
Florida St.,Florida,55,71,2021-11-14
Hanover,Indiana St.,49,90,2021-11-14
Binghamton,Sacred Heart,72,60,2021-11-14
Paul Quinn,Southeastern La.,60,77,2021-11-14
Penn,Bucknell,73,68,2021-11-14
Bluefield Col.,Elon,72,89,2021-11-14
UNC Asheville,Chattanooga,45,75,2021-11-14
Ark. Baptist,Little Rock,60,91,2021-11-14
A&M-Corpus Christi,Texas A&M,65,86,2021-11-14
South Dakota St.,SFA,83,71,2021-11-14
Prairie View,Oklahoma St.,59,72,2021-11-14
South Dakota,Drake,50,99,2021-11-14
Rhodes,UAB,61,98,2021-11-14
Mid-Atlantic Christ.,Longwood,47,93,2021-11-14
Central Conn. St.,Brown,57,75,2021-11-14
Piedmont,Kennesaw St.,57,81,2021-11-14
Ark.-Pine Bluff,Wyoming,45,85,2021-11-14
Western Caro.,East Carolina,79,95,2021-11-14
Fairfield,Boston College,64,72,2021-11-14
Rocky Mountain,Montana St.,52,81,2021-11-14
Drexel,Syracuse,60,75,2021-11-14
La Sierra,UC Riverside,54,72,2021-11-14
Oakwood,Tennessee Tech,68,109,2021-11-14
Delaware St.,Rider,53,63,2021-11-14
Canisius,St. Bonaventure,60,69,2021-11-14
Western Ky.,South Carolina,64,75,2021-11-14
Dubuque,UNI,58,95,2021-11-14
Peru St.,Colorado St.,62,88,2021-11-14
Morgan St.,George Mason,53,90,2021-11-14
Minnesota,Princeton,87,80,2021-11-14
Texas St.,Vanderbilt,60,79,2021-11-14
Idaho St.,Seattle U,51,77,2021-11-14
Nicholls,Baylor,60,89,2021-11-15
Carver,Kennesaw St.,58,117,2021-11-15
St. Andrews,USC Upstate,43,96,2021-11-15
IUPUI,Denver,47,63,2021-11-15
Bowling Green,Ohio St.,58,89,2021-11-15
William Peace,App State,49,98,2021-11-15
Liberty,LSU,58,74,2021-11-15
Bryant,Clemson,70,93,2021-11-15
Ky. Christian,Morehead St.,57,82,2021-11-15
Coppin St.,UNC Greensboro,48,55,2021-11-15
Weber St.,Duquesne,63,59,2021-11-15
Franciscan,Saint Francis (PA),54,100,2021-11-15
Penn St.-York,UMBC,47,85,2021-11-15
Erskine,Wofford,41,98,2021-11-15
Holy Cross,Quinnipiac,68,76,2021-11-15
Illinois,Marquette,66,67,2021-11-15
Penn St.,Massachusetts,56,81,2021-11-15
Manhattan,Old Dominion,58,79,2021-11-15
The Citadel,Presbyterian,70,74,2021-11-15
LeMoyne-Owen,Florida A&M,70,95,2021-11-15
Radford,Virginia Tech,39,65,2021-11-15
N.C. A&T,South Fla.,54,56,2021-11-15
St. Thomas (MN),Fordham,78,84,2021-11-15
Robert Morris,Ohio,71,85,2021-11-15
Milligan,Marshall,58,80,2021-11-15
Lamar University,Georgia Tech,66,75,2021-11-15
Jarvis Christian,Louisiana Tech,61,91,2021-11-15
Furman,Belmont,89,95,2021-11-15
Champion Chris.,McNeese,66,116,2021-11-15
Montana,North Dakota,77,79,2021-11-15
Central Mich.,Eastern Ill.,62,61,2021-11-15
Northwestern St.,SMU,48,95,2021-11-15
Southern Miss.,TCU,51,83,2021-11-15
Knox,SIUE,37,75,2021-11-15
Navy,Louisville,60,77,2021-11-15
Maine,Colorado,46,90,2021-11-15
Colorado Col.,Northern Colo.,53,93,2021-11-15
Benedictine Mesa,Northern Ariz.,48,97,2021-11-15
Buffalo,North Texas,69,66,2021-11-15
Prairie View,Texas Tech,49,84,2021-11-15
Kansas City,Missouri,80,66,2021-11-15
Central Baptist,Arkansas St.,63,90,2021-11-15
Tex. A&M-Commerce,UTSA,65,62,2021-11-15
North Florida,Arizona St.,63,72,2021-11-15
Oregon St.,Tulsa,58,64,2021-11-15
Texas Southern,Washington,65,72,2021-11-15
Walla Walla,Eastern Wash.,71,111,2021-11-15
Samford,San Francisco,55,77,2021-11-15
Grambling,New Mexico,61,86,2021-11-15
Alcorn,Gonzaga,57,84,2021-11-15
Providence,Wisconsin,63,58,2021-11-15
San Diego,California,70,75,2021-11-15
Bethune-Cookman,Utah,55,86,2021-11-15
North Dakota St.,UNLV,62,64,2021-11-15
Southern Utah,Saint Marys (CA),51,70,2021-11-15
Utah Valley,Pepperdine,86,74,2021-11-15
Idaho,Fresno St.,62,69,2021-11-15
Sacramento St.,Cal Poly,58,57,2021-11-15
UC Santa Barbara,Washington St.,65,73,2021-11-15
San Jose St.,Stanford,62,76,2021-11-15
Long Beach St.,UCLA,79,100,2021-11-15
UMass Lowell,Oklahoma St.,58,80,2021-11-16
IUPUI,A&M-Corpus Christi,59,65,2021-11-16
Miami (FL),Fla. Atlantic,68,66,2021-11-16
Southern California,FGCU,78,61,2021-11-16
Howard,Villanova,81,100,2021-11-16
South Carolina St.,Georgia,60,76,2021-11-16
UNCW,Pittsburgh,51,59,2021-11-16
Wright St.,Purdue,52,96,2021-11-16
Gardner-Webb,Duke,52,92,2021-11-16
Jacksonville,UCF,54,63,2021-11-16
Life (GA),Mercer,50,78,2021-11-16
Creighton,Nebraska,77,69,2021-11-16
William & Mary,Norfolk St.,74,91,2021-11-16
Jacksonville St.,Troy,65,69,2021-11-16
Edinboro,Cleveland St.,61,75,2021-11-16
NJIT,Rutgers,61,75,2021-11-16
Lehigh,Monmouth,75,85,2021-11-16
Boston U.,Northeastern,48,49,2021-11-16
Mount St. Marys,Kentucky,55,80,2021-11-16
Keystone,VMI,35,97,2021-11-16
Fisher,Sacred Heart,49,109,2021-11-16
Winthrop,Middle Tenn.,65,76,2021-11-16
DePauw,Evansville,58,69,2021-11-16
Tennessee Tech,Chattanooga,62,69,2021-11-16
Austin Peay,Purdue Fort Wayne,60,65,2021-11-16
Iowa Wesleyan,Western Ill.,71,97,2021-11-16
Lafayette,Penn,57,85,2021-11-16
Yale,Siena,82,54,2021-11-16
Hofstra,Iona,74,82,2021-11-16
Georgia St.,Richmond,78,94,2021-11-16
Hampton,Towson,54,78,2021-11-16
JWU (Providence),Brown,47,98,2021-11-16
NVU-Lyndon,Dartmouth,74,114,2021-11-16
Colgate,Cornell,68,78,2021-11-16
Medgar Evers,Fairfield,55,110,2021-11-16
Alabama A&M,Cincinnati,66,89,2021-11-16
James Madison,Eastern Ky.,79,78,2021-11-16
Bob Jones,Ga. Southern,51,103,2021-11-16
Regent,Delaware St.,30,84,2021-11-16
WPI,Vermont,48,81,2021-11-16
Oberlin,Kent St.,38,84,2021-11-16
Champion Chris.,ULM,59,114,2021-11-16
South Alabama,Alabama,68,73,2021-11-16
Concordia (TX),UIW,82,78,2021-11-16
Abilene Christian,UT Arlington,80,71,2021-11-16
High Point,Notre Dame,61,70,2021-11-16
Alabama St.,Iowa St.,60,68,2021-11-16
Paul Quinn,UTRGV,68,85,2021-11-16
Murray St.,Illinois St.,77,65,2021-11-16
Saint Louis,Memphis,74,90,2021-11-16
New Orleans,Northwestern,67,83,2021-11-16
NC State,Central Conn. St.,79,65,2021-11-16
Tarleton St.,Wichita St.,51,65,2021-11-16
Chicago St.,Loyola Chicago,56,92,2021-11-16
Southern U.,Rice,63,81,2021-11-16
Trinity Christian,UIC,50,91,2021-11-16
Fisk,Tennessee St.,56,111,2021-11-16
Missouri S&T,Bradley,66,92,2021-11-16
Virginia,Houston,47,67,2021-11-16
Denver,UTSA,64,78,2021-11-16
North Carolina,Col. of Charleston,94,83,2021-11-16
American,Georgetown,57,79,2021-11-16
Nevada,Santa Clara,74,96,2021-11-16
North Dakota St.,Arizona,45,97,2021-11-16
BYU,Oregon,81,49,2021-11-16
Northern N.M.,UTEP,53,88,2021-11-16
Seton Hall,Michigan,67,65,2021-11-16
N.C. Central,Iowa,69,86,2021-11-16
San Diego Christian,UC San Diego,60,97,2021-11-16
La Verne,UC Irvine,41,100,2021-11-16
Jackson St.,California Baptist,64,77,2021-11-16
Stanislaus St.,Pacific,46,65,2021-11-16
George Washington,Cal St. Fullerton,59,74,2021-11-16
Houston Baptist,Texas A&M,39,73,2021-11-17
Denver,A&M-Corpus Christi,67,69,2021-11-17
Central Conn. St.,UMass Lowell,53,77,2021-11-17
IUPUI,UTSA,57,60,2021-11-17
Boston College,Rhode Island,49,57,2021-11-17
Merrimack,Army West Point,51,74,2021-11-17
LIU,UConn,40,93,2021-11-17
